month,day_of_year,hour,minute,day_of_week,holiday,route_A->B,route_B->A,capacity,tickets_9_eur,tickets_12_eur,tickets_15_eur,tickets_19_eur,ride_departure
1,1,8,15,3,1,0,1,82.0,21.0,0.0,0.0,0.0,2015-01-01 08:15:00
1,1,9,15,3,1,1,0,82.0,12.0,0.0,0.0,0.0,2015-01-01 09:15:00
1,1,10,15,3,1,0,1,82.0,33.0,0.0,0.0,0.0,2015-01-01 10:15:00
1,1,11,45,3,1,1,0,82.0,25.0,0.0,0.0,0.0,2015-01-01 11:45:00
1,1,12,45,3,1,0,1,82.0,32.0,0.0,0.0,0.0,2015-01-01 12:45:00
1,1,13,45,3,1,1,0,82.0,54.0,0.0,0.0,0.0,2015-01-01 13:45:00
1,1,15,15,3,1,0,1,82.0,59.0,0.0,0.0,0.0,2015-01-01 15:15:00
1,1,16,15,3,1,1,0,82.0,77.0,1.0,1.0,2.0,2015-01-01 16:15:00
1,1,17,15,3,1,0,1,82.0,63.0,0.0,0.0,0.0,2015-01-01 17:15:00
1,1,18,45,3,1,1,0,82.0,78.0,2.0,1.0,1.0,2015-01-01 18:45:00
1,1,19,45,3,1,0,1,82.0,41.0,0.0,0.0,0.0,2015-01-01 19:45:00
1,1,20,45,3,1,1,0,82.0,51.0,0.0,0.0,0.0,2015-01-01 20:45:00
1,2,7,15,4,0,0,1,82.0,64.0,0.0,0.0,0.0,2015-01-02 07:15:00
1,2,8,15,4,0,1,0,82.0,34.0,0.0,0.0,0.0,2015-01-02 08:15:00
1,2,9,15,4,0,0,1,82.0,79.0,1.0,1.0,1.0,2015-01-02 09:15:00
1,2,10,45,4,0,1,0,82.0,33.0,0.0,0.0,0.0,2015-01-02 10:45:00
1,2,11,45,4,0,0,1,82.0,79.0,0.0,0.0,0.0,2015-01-02 11:45:00
1,2,12,45,4,0,1,0,82.0,46.0,0.0,0.0,0.0,2015-01-02 12:45:00
1,2,14,15,4,0,0,1,82.0,44.0,0.0,0.0,0.0,2015-01-02 14:15:00
1,2,15,15,4,0,1,0,82.0,56.0,0.0,0.0,0.0,2015-01-02 15:15:00
1,2,16,15,4,0,0,1,82.0,50.0,0.0,0.0,0.0,2015-01-02 16:15:00
1,2,17,45,4,0,1,0,82.0,79.0,1.0,1.0,1.0,2015-01-02 17:45:00
1,2,18,45,4,0,0,1,82.0,50.0,0.0,0.0,0.0,2015-01-02 18:45:00
1,2,19,45,4,0,1,0,82.0,75.0,0.0,0.0,0.0,2015-01-02 19:45:00
1,3,7,15,5,0,0,1,82.0,65.0,0.0,0.0,0.0,2015-01-03 07:15:00
1,3,8,15,5,0,1,0,82.0,31.0,0.0,0.0,0.0,2015-01-03 08:15:00
1,3,9,15,5,0,0,1,82.0,59.0,0.0,0.0,0.0,2015-01-03 09:15:00
1,3,10,45,5,0,1,0,82.0,40.0,0.0,0.0,0.0,2015-01-03 10:45:00
1,3,11,45,5,0,0,1,82.0,33.0,0.0,0.0,0.0,2015-01-03 11:45:00
1,3,12,45,5,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-03 12:45:00
1,3,14,15,5,0,0,1,82.0,54.0,0.0,0.0,0.0,2015-01-03 14:15:00
1,3,15,15,5,0,1,0,82.0,70.0,0.0,0.0,0.0,2015-01-03 15:15:00
1,3,16,15,5,0,0,1,82.0,30.0,0.0,0.0,0.0,2015-01-03 16:15:00
1,3,17,45,5,0,1,0,82.0,61.0,0.0,0.0,0.0,2015-01-03 17:45:00
1,3,18,45,5,0,0,1,82.0,44.0,0.0,0.0,0.0,2015-01-03 18:45:00
1,3,19,45,5,0,1,0,82.0,74.0,0.0,0.0,0.0,2015-01-03 19:45:00
1,4,8,15,6,0,0,1,82.0,22.0,0.0,0.0,0.0,2015-01-04 08:15:00
1,4,9,15,6,0,1,0,82.0,38.0,0.0,0.0,0.0,2015-01-04 09:15:00
1,4,10,15,6,0,0,1,82.0,33.0,0.0,0.0,0.0,2015-01-04 10:15:00
1,4,11,45,6,0,1,0,82.0,43.0,0.0,0.0,0.0,2015-01-04 11:45:00
1,4,12,45,6,0,0,1,82.0,38.0,0.0,0.0,0.0,2015-01-04 12:45:00
1,4,13,45,6,0,1,0,82.0,43.0,0.0,0.0,0.0,2015-01-04 13:45:00
1,4,15,15,6,0,0,1,82.0,37.0,0.0,0.0,0.0,2015-01-04 15:15:00
1,4,16,15,6,0,1,0,82.0,52.0,0.0,0.0,0.0,2015-01-04 16:15:00
1,4,17,15,6,0,0,1,82.0,70.0,0.0,0.0,0.0,2015-01-04 17:15:00
1,4,18,45,6,0,1,0,82.0,55.0,0.0,0.0,0.0,2015-01-04 18:45:00
1,4,19,45,6,0,0,1,82.0,36.0,0.0,0.0,0.0,2015-01-04 19:45:00
1,4,20,45,6,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-04 20:45:00
1,5,7,15,0,0,0,1,82.0,35.0,0.0,0.0,0.0,2015-01-05 07:15:00
1,5,8,15,0,0,1,0,82.0,21.0,0.0,0.0,0.0,2015-01-05 08:15:00
1,5,9,15,0,0,0,1,82.0,52.0,0.0,0.0,0.0,2015-01-05 09:15:00
1,5,10,45,0,0,1,0,82.0,29.0,0.0,0.0,0.0,2015-01-05 10:45:00
1,5,11,45,0,0,0,1,82.0,23.0,0.0,0.0,0.0,2015-01-05 11:45:00
1,5,12,45,0,0,1,0,82.0,53.0,0.0,0.0,0.0,2015-01-05 12:45:00
1,5,14,15,0,0,0,1,82.0,26.0,0.0,0.0,0.0,2015-01-05 14:15:00
1,5,15,15,0,0,1,0,82.0,38.0,0.0,0.0,0.0,2015-01-05 15:15:00
1,5,16,15,0,0,0,1,82.0,32.0,0.0,0.0,0.0,2015-01-05 16:15:00
1,5,17,45,0,0,1,0,82.0,58.0,0.0,0.0,0.0,2015-01-05 17:45:00
1,5,18,45,0,0,0,1,82.0,35.0,0.0,0.0,0.0,2015-01-05 18:45:00
1,5,19,45,0,0,1,0,82.0,47.0,0.0,0.0,0.0,2015-01-05 19:45:00
1,6,9,15,1,0,1,0,82.0,36.0,0.0,0.0,0.0,2015-01-06 09:15:00
1,6,10,15,1,0,0,1,82.0,29.0,0.0,0.0,0.0,2015-01-06 10:15:00
1,6,11,45,1,0,1,0,82.0,21.0,0.0,0.0,0.0,2015-01-06 11:45:00
1,6,12,45,1,0,0,1,82.0,35.0,0.0,0.0,0.0,2015-01-06 12:45:00
1,6,13,45,1,0,1,0,82.0,50.0,0.0,0.0,0.0,2015-01-06 13:45:00
1,6,16,15,1,0,1,0,82.0,55.0,0.0,0.0,0.0,2015-01-06 16:15:00
